Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source,BMR,iFR,FFR
Non-hyperemic,1,LAD,0.453,1.2,0.68,0.24,0.0,0.24,0.964778111,,,,7.977153506,,0.291228013,1.707943479,2.227648701,3.359626,14.3497372,73.296575,502.177701,216.2790132,155.2828522,0.938689647,4.909217475,0.393844593,0.213106964,0.077985447,0.055963395,0.001779327,0.0,0.006345886,mine,,0.964778111,
Non-hyperemic,2,LAD,0.453,1.5,0.68,0.24,0.0,0.24,0.958955199,,,,8.144155954,,0.348582773,1.796378384,2.230283759,3.3636,14.01140917,72.634057,498.090884,217.2293561,201.3663133,0.568974625,4.093896733,0.985480001,0.25462124,0.050317803,0.079592383,0.001221765,0.0,0.011475646,mine,,0.958955199,
Non-hyperemic,3,LAD,0.453,1.7,0.68,0.24,0.0,0.24,0.955921752,,,,8.078914117,,0.37252461,1.821392729,2.229817954,3.362898,14.13567396,73.305043,458.308797,210.7213309,214.4261702,0.295901451,6.235184493,1.514652714,0.25108967,0.045033024,0.099649219,0.001156746,0.0,0.011935928,mine,,0.955921752,
Non-hyperemic,4,LAD,0.441,2.0,0.67,0.24,0.0,0.24,0.9560327,,,,8.139973964,,0.374351919,1.826207922,2.240501667,3.37901,14.04838567,72.379322,414.588221,,,0.564935623,,,,,,,,,mine,,0.9560327,
Non-hyperemic,5,LAD,0.481,1.2,0.71,0.24,0.0,0.24,0.956480977,,,,7.549227639,,0.343483058,1.757162169,2.230272253,3.363583,15.11114704,73.820153,539.581591,241.2389221,194.9969951,0.83728639,2.778466275,0.80850371,0.215244674,0.088372952,0.060611219,0.002194876,0.001041511,0.001473176,mine,,0.956480977,
Non-hyperemic,6,LAD,0.481,1.5,0.71,0.24,0.0,0.24,0.949253756,,,,8.067110786,,0.431260422,1.886048027,2.210532299,3.333812,14.10086829,73.222563,544.47041,222.2431696,257.1140475,2.023638889,6.7074906,0.607037322,0.248813526,0.049904383,0.087874656,0.002199565,0.0,0.005448233,mine,,0.949253756,
Non-hyperemic,7,LAD,0.481,1.7,0.71,0.24,0.0,0.24,0.945567727,,,,7.804836913,,0.449290943,,2.234609931,3.370125,,,,214.3570902,284.3489705,0.573063861,4.830902877,1.913321992,0.247469346,0.047698303,0.114204371,0.001257942,0.0,0.007936994,mine,,0.945567727,
Non-hyperemic,8,LAD,0.481,2.0,0.71,0.24,0.0,0.24,0.942095867,,,,7.458188926,,0.458403414,1.876959426,2.22294969,3.352539,15.30532997,73.935341,486.440241,183.2759752,292.1908383,0.463671019,3.932162159,2.838585117,0.24504527,0.045971854,0.131556534,0.000795019,0.0,0.007730967,mine,,0.942095867,
Non-hyperemic,9,LAD,0.558,1.2,0.78,0.24,0.0,0.24,0.92319331,,,,7.19919996,,0.59895009,,2.239974598,3.378215,,,,293.2155724,271.283541,8.342805702,1.409786453,3.08439762,0.20663671,0.097920861,0.071734606,0.004004779,0.0063946,0.000956233,mine,,0.92319331,
Non-hyperemic,10,LAD,0.558,1.5,0.78,0.24,0.0,0.24,0.911735035,,,,7.516776019,,0.727698235,2.091242816,2.20679708,3.328179,14.83415406,74.824396,769.603054,219.9358358,403.9865433,3.84206545,4.924258209,1.08854576,0.239651445,0.068453755,0.108156495,0.001023535,0.0,0.00199199,mine,,0.911735035,
