Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,area,Q_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source
Hyperemic,56,LCX,0.6,0.9,0.57,0.24,0,0.24,0.572520443,3.067225399,5.357407642,1,1.310531256,5.511597682,0.978524569,1.761940814,6.556845,10.417828,42.57799437,0.095,4.044909465,1866.911607,3448.994889,1035.856331,1727.560353,13.28389105,22.32315889,0.194467876,,0.209743864,0.153524985,0.015276951,0,0.061447091,mine
Hyperemic,26,LAD,0.59,2.5,0.78,0.24,0,0.24,0.483869963,2.542233069,5.253959255,1,1.315848432,4.944998975,1.403577309,1.974745804,5.521073759,8.554116,37.41491947,0.095,3.55441735,555.281961,,498.4516702,1382.06823,0.810531592,4.398622813,0.964112148,0.854260056,0.167622329,0.154369602,0,0,0.003152871,mine
Hyperemic,13,LAD,0.59,1.2,0.81,0.24,0,0.24,0.576869098,2.654303317,4.601222923,1,1.510185059,4.653188795,1.107713983,1.861830246,5.882034057,8.897737,38.29584638,0.095,3.638105406,,2642.526706,913.2225482,1168.741477,16.90358109,8.315521377,3.452354719,0.846077949,0.274595829,0.240395398,0,0,0,mine
Hyperemic,9,LAD,0.56,1.2,0.78,0.24,0,0.24,0.62963769,2.84845902,4.52396523,1,1.59223813,4.52143421,0.93657829,1.76744284,6.17815655,9.622707,40.2397734,0.095,3.822778473,675.230019,2536.06953,894.019957,1114.22768,11.8040446,5.01762651,8.50377729,0.85984484,0.2744707,0.2461127,0,0,0,mine
Hyperemic,5,LAD,0.48,1.2,0.71,0.24,0,0.24,0.74404273,3.17262425,4.26403504,1,1.70466146,4.42857883,0.58641861,,6.70194192,10.671385,,0.095,0,554.574982,1365.68185,982.190159,905.258643,6.11657981,3.29462316,3.66183735,,0.27605297,0.25215725,0,0,0.00015104,mine
Hyperemic,18,LAD,0.45,2.5,0.68,0.24,0,0.24,0.698815174,3.190504655,4.565591554,1,1.71049844,4.595104754,0.737213779,1.621534084,6.511574356,10.717489,44.32141733,0.095,4.210534646,769.259048,1876.517458,,,0.249105435,,,,,,,,,mine
Hyperemic,38,LAD,0,0.1,0.251,0.24,0,0.24,0.964578422,3.748997458,3.886669421,0,1.800845216,4.145135925,0.066131252,0.480711818,7.461479057,12.545064,54.9856299,0.095,5.223634841,1010.994858,1929.592179,936.3744589,936.3744589,,25.64289425,4.36929602,0.903215595,0.253257595,0.246738978,0,0,0,mine
Hyperemic,1,LAD,0.45,1.2,0.68,0.24,0,0.24,0.78279574,3.29295731,4.20666229,1,1.82960849,4.36003306,0.50766598,1.46117657,6.83480152,11.063105,44.1525479,0.095,4.194492051,833.409859,2024.27804,1020.27841,834.911297,6.08141458,1.66234155,5.8003689,,0.27519231,0.25529653,,0,0,mine
Hyperemic,58,LCX,0.6,3,0.76,0.24,0,0.24,0.640768073,3.275656845,5.112078741,1,2.06008946,4.573567643,1.154941915,1.973600249,6.725018759,10.989131,30.86840386,0.095,2.932498367,814.901746,1735.756854,888.6050457,595.7586515,0.734339432,20.87221544,0.73899006,0.932497011,0.19098163,0.098250316,0,0,0,mine
Hyperemic,52,LCX,0.3,0.9,0.61,0.24,0,0.24,0.912696236,3.669399535,4.020395167,0,2.112068729,4.100138644,0.202029485,1.079381863,7.382394908,12.34426,42.32404556,0.095,4.020784328,1046.328859,2187.311718,1106.017478,322.0827865,3.207490599,10.41412038,11.47801754,0.890435767,0.192953501,0.243759665,6.92E-05,0,0,mine
Hyperemic,34,LAD,0.59,2.5,0.78,0.43,0,0.43,0.653378853,1.907135156,2.918881055,3,2.522209806,2.579828661,1.338046451,2.070118626,3.869900874,6.417136,28.63563676,0.095,2.720385492,362.853009,1503.760284,379.0663565,1042.439594,1.216785459,1.604850444,1.403350804,0.621188617,0.111729742,0.14663327,0.000376144,0.000804848,0.003321649,mine
Hyperemic,54,LCX,0.3,3,0.9,0.24,0,0.24,0.842737951,3.594209457,4.264919426,0,2.529300165,3.943311326,0.471988863,1.555443341,7.312828839,12.119358,33.04020169,0.095,3.138819161,1084.868221,1863.389237,925.3396628,232.5527115,2.143027843,5.176404848,2.967450936,0.924223152,0.187945616,0.104906821,0,0,0.006228525,mine
Hyperemic,45,LAD,0.59,1.2,0.63,0.43,0,0.43,0.75687112,2.074473934,2.740854922,1,2.675958768,2.626040536,0.859595302,1.841596975,4.163569989,6.954037,31.13517692,0.095,2.957841807,438.439425,1938.923303,643.1548609,800.2244054,14.09999587,2.93199149,3.324824977,0.641197089,0.236326601,0.191061902,0,0,0,mine
Hyperemic,39,LAD,0,0.1,0.251,0.43,0,0.43,0.980134583,2.516764015,2.567773915,0,3.003824285,2.485081513,0.060881662,0.628805605,4.726278621,8.421709,35.99441966,0.095,3.419469868,559.284393,1107.928699,545.2060713,545.2060713,,12.38220519,2.367019543,0.631962901,0.127953558,0.110807818,0,0,0,mine
Hyperemic,31,LAD,0.45,2.5,0.68,0.43,0,0.43,0.833068698,2.250310269,2.70123013,0,3.131865822,2.509660362,0.627567017,1.72811991,4.39696892,7.559204,29.51851328,0.095,2.804258762,438.844546,1102.881711,522.8618905,605.2747147,0.210472919,1.826057334,1.963705688,0.688282732,0.12361164,0.160222875,0,0,0.003498645,mine
