Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,Max Flow,v_distal,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,R_scale,R_micro,R_total,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,discord,source
Non-hyperemic,68,2.982273990851341816e-01,0.9,0.745,2.2410524597701147,3.379841,12.410847122782881,,8.838165017908977,0.08766336065172484,,44.9317302465487,189.08406344020767,0.0,0.031276489046950226,0.24,0.0,0.24,LAD,,,,0.08682246764383719,364.141066,73.545153,22.236397507489517,7.490161473266714,1.4275493407983375,0.0,0.0,0.000184174706481093,,mine
Non-hyperemic,50,5.985359125502809352e-01,0.9,0.5700000000000001,2.252098241379309,3.396499,14.920643282949193,0.9004077056474769,7.2231210322992885,0.7989349618852493,2.1292781588334404,544.1888338829,221.07734748127987,0.1188335087199356,0.0314757420090166,0.24,0.0,0.24,LCX,,,,0.14753056524668848,1205.5015720000001,545.600706,7.660404585158117,0.41272453187546837,3.21241776207066,0.12272662192933118,0.0,0.02354794446467519,,mine
Non-hyperemic,66,2.048441957096110988e-01,2.0,0.5800000000000001,2.2238716091954025,3.35393,12.893564837595662,,8.487020296563811,0.11390155058682386,,53.52795784868607,184.14643385852537,0.0,0.03300135187306081,0.24,0.0,0.24,LAD,,,,0.05975821967777783,363.091227,73.749309,1.839462031341226,17.15788750033138,1.839462031341226,0.0,0.0007945030076159629,0.0007588111920764093,,mine
Non-hyperemic,61,1.117331976597878418e-01,1.66,0.5800000000000001,2.234540551724138,3.37002,13.123060000518283,,8.341907181408443,0.09499937864827364,,44.41321289840942,198.0860022745096,0.0,0.02141409359180359,0.24,0.0,0.24,LAD,,,,0.05869741877847365,377.23309,71.991405,0.799562331735081,20.049491294452835,0.799562331735081,0.0,0.0007343871979048501,0.0006040401112056268,,mine
Non-hyperemic,60,1.075575169072274795e-01,0.9,0.43,2.2384789540229884,3.37596,13.328269627627856,,8.253912979871107,0.06417401500793321,,40.267460244004845,197.82005370216814,0.0,0.03136918671229758,0.24,0.0,0.24,LAD,,,,0.05905703077632209,376.06429,72.425202,20.40407797843459,17.850898223139616,1.7603390634920044,0.0,0.0,0.0004677119615276039,,mine
Non-hyperemic,67,2.048441957096112098e-01,2.5,0.5800000000000001,2.223087149425287,3.352746,13.532971305063624,,8.060677782904822,0.13306596698090348,,52.21464231881521,189.01292409068438,0.0,0.021916910386492055,0.24,0.0,0.24,LAD,,,,0.057863626069360394,366.42226500000004,71.475381,0.8826350995256874,20.36203514898984,1.0669288917936255,0.0,0.00037589211184592283,0.0003688739716607005,,mine
Non-hyperemic,51,5.951443504385723893e-01,3.0,0.76,2.2244401724137934,3.354787,11.72119521742962,0.9173448448684582,9.421958493757401,0.8489429523704767,2.2604608879187706,135.36433417494894,197.64192582755103,0.04633128904411461,0.02016634844383225,0.24,0.0,0.24,LCX,,,,0.15714666921365658,447.142565,200.987644,0.09771344228188229,0.2687129447131303,8.026376076268996,0.014203652341457198,0.0,0.000987450346447329,,mine
Non-hyperemic,69,3.090435692874629048e-01,1.66,0.9,2.2395507816091964,3.377576,12.243624657302409,,8.912150083392268,0.1683062851664719,,74.91711558555119,209.0199299029579,0.00320548612852185,0.02237135056772157,0.24,0.0,0.24,LAD,,,,0.1900182153095151,387.80905199999995,73.336331,0.8919218519018186,1.4137844557966872,0.8919218519018186,0.04002486246422156,0.0,0.0,,mine
Non-hyperemic,3,4.528590858545522568e-01,1.7,0.6799999999999999,2.2298179540229888,3.362898,14.135673961317474,0.9559217522138562,8.078914117281288,0.3725246103876005,1.8213927293529775,214.42617016738697,210.72133093803038,0.09964921901075964,0.04503302438725756,0.24,0.0,0.24,LAD,,,,0.25108966972904445,458.308797,73.305043,0.2959014506502802,1.514652713506401,6.235184492640925,0.01193592783054887,0.0,0.001156745638130044,,mine
Non-hyperemic,4,4.407935948725615338e-01,2.0,0.6699999999999999,2.240501666666667,3.37901,14.04838566858643,0.956032700203412,8.139973964356635,0.374351918664645,1.8262079218127556,,,,,0.24,0.0,0.24,LAD,,,,,414.588221,72.379322,0.5649356232798711,,,,,,,mine
Non-hyperemic,5,4.813122844963183544e-01,1.2,0.71,2.2302722528735632,3.363583,15.111147043129543,0.9564809770610759,7.549227639449927,0.343483057887729,1.7571621687826702,194.99699505659206,241.2389221216187,0.0606112191697697,0.08837295227537117,0.24,0.0,0.24,LAD,,,,0.2152446740719269,539.581591,73.820153,0.8372863902919129,0.8085037098428268,2.778466274643177,0.0014731756496067755,0.0010415108412944287,0.0021948763713696873,,mine
Non-hyperemic,2,4.528590858545522568e-01,1.5,0.6799999999999999,2.2302837586206894,3.3636,14.01140917313219,0.9589551988075317,8.14415595403404,0.34858277261488163,1.7963783838599552,201.36631330983062,217.22935613893188,0.07959238330146053,0.05031780303230888,0.24,0.0,0.24,LAD,,,,0.2546212398283756,498.09088399999996,72.634057,0.5689746249824182,0.9854800009603408,4.093896732846243,0.011475645550127877,0.0,0.0012217653874017984,,mine
Non-hyperemic,16,5.908588520863007343e-01,2.0,0.81,2.2137170229885053,3.338615,17.67427191998992,0.8710720798498311,6.2478785192862265,0.9247523844196244,2.119238207242911,606.3764481133924,219.4918227036951,0.1400204317526657,0.05202527157940534,0.24,0.0,0.24,LAD,,,,0.23309442366375427,799.287205,72.312544,1.1308421717810158,2.9966114986224253,3.6235834088768195,0.00026660872543844596,0.0,0.0010728641296764189,,mine
Non-hyperemic,11,5.583999396986585317e-01,1.7,0.78,2.2247407126436776,3.35524,,0.9056759204301098,,,,457.58007695583626,218.5433258454826,0.1256843337182265,0.05173095001373966,0.24,0.0,0.24,LAD,,,,0.23736565093066617,,,0.6935590339935441,3.3777435485565483,1.2225345553981608,0.0005772518959142975,0.0,0.0010103833569652426,,mine
Non-hyperemic,18,4.528590858545518127e-01,2.5,0.6799999999999999,2.2273547816091956,3.359183,14.464316897365396,0.9429564124782075,7.859919513069869,0.47548115769180094,1.9173896631070784,203.5953779425802,206.18849700049495,0.11427913856038982,0.04172879725878237,0.24,0.0,0.24,LAD,,,,0.23254385189045745,446.08481299999994,72.122823,0.16195007574354212,1.471505897848199,1.9336477024697274,0.03472432583517972,0.0,0.0010996936663021624,,mine
Non-hyperemic,20,4.528590858545518127e-01,2.7,0.6799999999999999,2.2286388965517245,3.361119,,0.9395129712925312,,,,208.19777033284643,197.35880713035314,0.11291374391053959,0.044996535929644775,0.24,0.0,0.24,LAD,,,,0.22686707393081315,,,0.03829644457649778,1.365481636076209,1.0865002368602807,0.0427262510479657,0.0,0.0009504156831959385,,mine
Non-hyperemic,80,6.182608632229922296e-01,0.9,0.79,2.2387672298850574,3.376394,,,7.550864252144742,0.6523740448670213,,139.67142859278525,213.7914209802328,0.07613685731705559,0.10889645261948483,0.24,0.0,0.24,LAD,,,,0.1740025164790477,1206.01578,72.621974,9.067810785302964,0.21920194358010756,2.791949396484375,0.030072965607565748,0.0,0.00022884524675174714,,mine
Non-hyperemic,74,4.058147879532344460e-01,2.0,0.9,2.2313777931034484,3.36525,12.279237452983557,,8.891377452677842,0.24069153044245636,,112.36267654195329,190.59191173453596,0.06872955623323024,0.03278732019098197,0.24,0.0,0.24,LAD,,,,0.22824353082271576,370.916834,72.971077,0.1463691675501021,0.1463691675501021,2.405232266077529,0.06641727737226667,0.0,0.00029536577112384307,,mine
Non-hyperemic,73,4.058147879532344460e-01,1.66,0.9,2.219674172413793,3.347599,11.930788278712079,,9.160319948464686,0.2271693615211812,,99.18711281608243,209.0196941148098,0.021577148953206567,0.025235538301956104,0.24,0.0,0.24,LAD,,,,0.21097811652881188,390.679194,72.406544,0.2464122733198959,0.1710160132646452,1.7113678722599175,0.07483288191042224,0.0,8.374448450622009e-05,,mine
Non-hyperemic,26,5.883401703217540080e-01,2.5,0.78,2.231082183908047,3.364804,16.76028550576802,0.8497845324176764,6.506869145412376,1.1502120289178175,2.237050772534191,490.2939095107783,176.80616166586108,0.12322397947534353,0.04807180772531175,0.24,0.0,0.24,LAD,,,,0.22968494561823102,779.126378,73.584895,0.4029306558292767,1.3967860861800359,5.127062708344647,0.008335279043436502,0.0,0.0005386010705109561,,mine
Non-hyperemic,10,5.583999396986585317e-01,1.5,0.78,2.2067970804597703,3.328179,14.834154063947,0.9117350346174757,7.516776019343343,0.7276982346234958,2.091242815972011,403.9865432939404,219.93583576235417,0.10815649484475623,0.0684537552652487,0.24,0.0,0.24,LAD,,,,0.23965144497109298,769.6030539999999,74.824396,3.8420654499667717,1.0885457603880122,4.924258209422906,0.001991989850699822,0.0,0.0010235347238137466,,mine
