Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,Max Flow,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,Rtotal_cor Value,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,v_distal,discord,source,Location_num
Hyperemic,57,0.5985359125502809,0.9,0.5700000000000001,2.578639390804597,4.021568,0.871184874015162,5.710697872743237,0.8443951311371876,2.088585326089596,667.8932333138738,294.62593529979483,0.1258542298674932,0.0399196335066528,0.24,LCX,1.1840333237254008,1.2648403388270182,1.359106842923439,0.1689014804216447,1426.242068,670.195732,9.170895035202571,0.0113937140706005,8.226743597903061,0.1214833661856901,0.0,0.0234339681350602,17.31867547063167,2.0,mine,1
Hyperemic,92,0.2982273990851342,0.9,0.745,7.451273022988503,12.274321,0.9426890656164324,2.3507809155459753,0.142916106397076,0.9634924597598252,264.7950132945944,882.3676985262048,0.1868755542024677,0.258000517709216,0.24,LAD,3.631626754039613,3.759671928362703,3.8524120905813857,0.910750947950131,1976.155823,1080.360693,31.295791551441734,3.2038913472306745,3.099783261350577,0.000661177555587,0.0,0.0002086817874047,39.096960528590735,0.0,mine,0
Hyperemic,59,0.5951443504385724,3.0,0.76,2.5989340574712645,4.065986,0.8944526595136972,7.435574061537173,0.8774137555931402,2.2003018301310364,182.51978861540945,265.042827631728,0.0577395419601269,0.037290765410867,0.24,LCX,1.211995277196436,1.267146075848457,1.355013330560594,0.2065991515506375,562.77639,240.665168,0.1182917395117803,0.288668435344045,5.948608701557494,0.0083930753240149,0.0,0.0003462913119617,13.91415664844108,2.0,mine,1
Hyperemic,95,0.30904356928746335,2.5,0.9,7.273192149425287,11.947408,0.8580900450436191,2.0049808830679297,0.3315814563378503,1.2991349614465406,446.49258043970497,817.665875779977,0.1957225987006755,0.2598293341836379,0.24,LAD,3.541122687545348,4.094231359952895,4.126749527044499,0.911592828582853,1745.855132,947.325016,0.6398242668267388,0.7185282605650491,6.527743080074751,0.0225340187572996,0.0,0.0,41.8802777295548,0.0,mine,0
Hyperemic,35,0.588340170321754,2.5,0.78,2.9805056091954043,4.876324,0.7524762786789294,3.818442647472665,1.2560597065104278,1.7930241312304218,770.9197410997666,284.57443510782736,0.1371302016881369,0.0825678266140306,0.62,LAD,1.449214872545325,1.7040636055432483,1.925927651951516,0.401370867751072,780.2767,295.008377,0.8129417085612887,1.4298683624362236,0.8129417085612887,0.004732323724082,0.0,0.0,26.72435222114018,3.0,mine,0
Hyperemic,32,0.4528590858545518,2.5,0.6799999999999999,3.2739604597701137,5.556566,0.892390459788147,4.650418108917386,0.5607739852040513,1.7950514862643825,395.5863340894741,378.6503972045427,0.1461862864869617,0.0911465727775586,0.62,LAD,1.6541420934792777,1.6901532999792253,1.8536079978622475,0.4873187981187342,1127.190525,254.535953,0.5046602879202745,2.1179692142786073,4.266627489522906,0.0079507467420689,0.0,0.0,22.609484041950147,2.0,mine,0
Hyperemic,13 copy,0.5908588520863005,1.2,0.81,5.8820340574712615,8.897737,0.5768690979759261,1.5101850592421515,1.1077139832632843,1.877052817920402,1168.7414772287102,913.2225482059446,0.2403953982440279,0.2745958286935022,0.24,LAD,2.654303317261267,4.6531887950387345,4.601222923145792,0.8460779493842456,2642.526706,895.8923982,16.903581091850505,3.452354719242726,8.315521376549851,0.0,0.0,0.0,39.63438223895222,1.0,mine,0
Hyperemic,94,0.3088178607003733,2.0,0.745,7.376683494252875,12.306007,0.9007144043524945,2.2166152875756215,0.2443371262686998,1.1876150460317667,388.5264910702998,953.350062363724,0.2156434861714889,0.2427519129677922,0.24,LAD,3.66740068281681,3.91368362228752,4.07165763653267,0.9107138248332343,1927.829155,1019.421368,0.3691789383077043,4.455386371444299,14.460387712639244,0.0074490428422496,0.0,0.0,39.895939393575496,0.0,mine,0
Hyperemic,93,0.3090435692874629,1.66,0.9,7.324861252873563,12.241098,0.8860443883128815,2.235752530283645,0.2875437737996583,1.2676649162657627,430.0645835787221,917.5520624801386,0.2111273671280149,0.278607452535438,0.24,LAD,3.624225776118731,3.986197024346698,4.0903433551671435,0.9165664287722468,1945.891685,854.119079,1.7536831997797404,3.909043776632259,9.163103881224997,0.0006884419653576,0.0,0.0,39.047508829410155,0.0,mine,0
Hyperemic,58,0.5951443504385724,3.0,0.76,6.725018758620688,10.989131,0.6407680732658327,2.060089459655478,1.154941915356269,1.9736002492568907,595.7586515005607,888.6050456617386,0.098250315775371,0.1909816298734198,0.24,LCX,3.2756568449800243,4.573567642704746,5.1120787405727475,0.9324970113433936,1735.756854,814.901746,0.7343394324868007,0.7389900601018516,20.87221544489923,0.0,0.0,0.0,30.86840386490484,1.0,mine,1
