Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,Max Flow,v_distal,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,R_scale,R_micro,R_total,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,discord,source,Location_num
Hyperemic,57,0.598535913,0.9,0.57,2.578639391,4.021568,17.31867547,0.871184874,5.710697873,0.844395131,2.088585326,667.8932333,294.6259353,0.12585423,0.039919634,0.24,0,0.24,LCX,1.184033324,1.264840339,1.359106843,0.16890148,1426.242068,670.195732,9.170895035,0.011393714,8.226743598,0.121483366,0,0.023433968,2,mine,1
Hyperemic,92,0.298227399,0.9,0.745,7.451273023,12.274321,39.09696053,0.942689066,2.350780916,0.142916106,0.96349246,264.7950133,882.3676985,0.186875554,0.258000518,0.24,0,0.24,LAD,3.631626754,3.759671928,3.852412091,0.910750948,1976.155823,1080.360693,31.29579155,3.203891347,3.099783261,0.000661178,0,0.000208682,0,mine,0
Hyperemic,59,0.59514435,3,0.76,2.598934057,4.065986,13.91415665,0.89445266,7.435574062,0.877413756,2.20030183,182.5197886,265.0428276,0.057739542,0.037290765,0.81,0,0.81,LCX,1.211995277,1.267146076,1.355013331,0.206599152,562.77639,240.665168,0.11829174,0.288668435,5.948608702,0.008393075,0,0.000346291,2,mine,1
Hyperemic,95,0.309043569,2.5,0.9,7.273192149,11.947408,41.88027773,0.858090045,2.004980883,0.331581456,1.299134961,446.4925804,817.6658758,0.195722599,0.259829334,0.24,0,0.24,LAD,3.541122688,4.09423136,4.126749527,0.911592829,1745.855132,947.325016,0.639824267,0.718528261,6.52774308,0.022534019,0,0,0,mine,0
Hyperemic,35,0.58834017,2.5,0.78,2.980505609,4.876324,22.60948404,0.752476279,3.818442647,1.256059707,2.145273912,770.9197411,284.5744351,0.137130202,0.082567827,0.62,0,0.62,LAD,1.449214873,1.704063606,1.925927652,0.401370868,1127.190525,254.535953,0.812941709,1.429868362,0.812941709,0.004732324,0,0,3,mine,0
Hyperemic,32,0.452859086,2.5,0.68,3.27396046,5.556566,22.15693181,0.89239046,4.650418109,0.560773985,1.803832517,395.5863341,378.6503972,0.146186286,0.091146573,0.62,0,0.62,LAD,1.654142093,1.6901533,1.853607998,0.487318798,780.2767,295.008377,0.504660288,2.117969214,4.26662749,0.007950747,0,0,2,mine,0
Hyperemic,94,0.308817861,2,0.745,7.376683494,12.306007,39.89593939,0.900714404,2.216615288,0.244337126,1.187615046,388.5264911,953.3500624,0.215643486,0.242751913,0.24,0,0.24,LAD,3.667400683,3.913683622,4.071657637,0.910713825,1927.829155,1019.421368,0.369178938,4.455386371,14.46038771,0.007449043,0,0,0,mine,0
Hyperemic,93,0.309043569,1.66,0.9,7.324861253,12.241098,39.04750883,0.886044388,2.23575253,0.287543774,1.267664916,430.0645836,917.5520625,0.211127367,0.278607453,0.24,0,0.24,LAD,3.624225776,3.986197024,4.090343355,0.916566429,1945.891685,854.119079,1.7536832,3.909043777,9.163103881,0.000688442,0,0,0,mine,0
Hyperemic,58,0.59514435,3,0.76,6.725018759,10.989131,30.86840386,0.640768073,2.06008946,1.154941915,1.973600249,595.7586515,888.6050457,0.098250316,0.19098163,0.24,0,0.24,LCX,3.275656845,4.573567643,5.112078741,0.932497011,1735.756854,814.901746,0.734339432,0.73899006,20.87221544,0,0,0,1,mine,1
Hyperemic,56,0.598535913,0.9,0.57,6.556845,10.417828,42.57799437,0.572520443,1.310531256,0.978524569,1.761940814,1727.560353,1035.856331,0.153524985,0.209743864,0.24,0,0.24,LCX,3.067225399,5.511597682,5.357407642,0.854603135,3448.994889,1866.911607,13.28389105,0.194467876,22.32315889,0.061447091,0,0.015276951,1,mine,1
