Condition,Geometry Number,Stenosis Percentage,Length,Width,Average Flow,Max Flow,v_distal,P_d/P_a,HMR,HSR,P_Loss_Coeff,WSS_TE,WSS_LE,WSS_TE_Area,WSS_LE_Area,R_scale,R_micro,R_total,Location,CFR,BMR/HMR,CFR/FFR,WSS_Area_Bifur,WSS_Bif,WSS_LMB,WSS_min,WSS_TE_min,WSS_LE_min,WSS_TE_Area_min,WSS_LE_Area_min,WSS_Area_Bifur_min,discord,source,Location_num
Hyperemic,55,3.01E-01,3,0.9,2.678678724,4.363152,13.65771127,0.964690223,8.079212891,0.295716902,1.736052501,61.44473693,270.9768647,0,0.042533224,0.81,0,0.81,LCX,1.293969712,1.234503673,1.34133184,0.195403341,534.485786,267.775446,0.379101071,6.289354415,3.989964346,0,0,0.000587942,1,mine,1
Hyperemic,59,5.95E-01,3,0.76,2.598934057,4.065986,13.91415665,0.89445266,7.435574062,0.877413756,2.20030183,182.5197886,265.0428276,0.057739542,0.037290765,0.81,0,0.81,LCX,1.211995277,1.267146076,1.355013331,0.206599152,562.77639,240.665168,0.11829174,0.288668435,5.948608702,0.008393075,0,0.000346291,1,mine,1
Hyperemic,53,3.03E-01,0.9,0.61,2.682877897,4.45746,16.06083369,0.9845733,7.010223977,0.109839076,1.235543064,78.10411912,327.4876462,0.00846193,0.042847529,0.81,0,0.81,LCX,1.32500463,1.23530641,1.345765348,0.190958772,643.138253,260.938233,0.494207227,0.283072996,5.905872241,0.084014607,0,0.018778421,1,mine,1
Hyperemic,33,4.53E-01,2.5,0.68,2.599016575,4.135181,17.28546356,0.924239662,6.243739234,0.511802095,1.871975308,266.9543567,275.2650262,0.130199471,0.069904053,0.81,0,0.81,LAD,1.231007956,1.258848139,1.331914229,0.292128464,571.315399,209.035986,0.27694361,1.747718444,4.29348512,0.017344086,0,0.00036841,1,mine,0
Hyperemic,113,4.53E-01,1.2,0.63,2.643248655,4.750686,14.921026,0.952862945,6.242037757,0.30878657,1.716413996,167.6615493,249.0546131,0.060018108,0.085769739,0.24,0.57,0.81,LAD,1.41405204,1.277972645,1.4840036,0.223212608,513.944442,208.856477,1.229649448,1.301874644,5.251371486,0.003996547,0,0.001544707,1,mine,0
Hyperemic,44,4.53E-01,1.2,0.63,2.641871828,4.307206,17.84573992,0.952184572,6.228996279,0.312798728,1.644284699,219.2082376,315.5809589,0.084384567,0.128476123,0.81,0,0.81,LAD,1.282049252,1.280648302,1.346429347,0.298717741,644.577906,265.821498,1.170979142,1.668200689,4.934876195,0.002517894,0,0.000661786,1,mine,0
Hyperemic,57,5.99E-01,0.9,0.57,2.578639391,4.021568,17.31867547,0.871184874,5.710697873,0.844395131,2.088585326,667.8932333,294.6259353,0.12585423,0.039919634,0.24,0,0.24,LCX,1.184033324,1.264840339,1.359106843,0.16890148,1426.242068,670.195732,9.170895035,0.011393714,8.226743598,0.121483366,0,0.023433968,1,mine,1
Hyperemic,41,1.22E-15,0.1,0.251,2.68484431,4.464591,20.91232771,0.989914157,5.521875104,0.056260199,0.830353168,266.3086568,266.3086568,0.053683667,0.071852514,0.81,0,0.81,LAD,1.334209241,0.330987325,1.34780297,0.110427048,514.053816,249.423284,,0.8374723,6.753689152,0.000703788,0,0.000396554,1,mine,0
Hyperemic,110,1.22E-15,0.1,0.251,2.685654552,5.023058,17.512849,0.989896358,5.513633383,0.056276373,0.907523575,206.7972377,206.7972377,0.032046885,0.042999373,0.24,0.57,0.81,LAD,1.501102878,0.331482081,1.516424286,0.059855229,397.139867,195.253419,,1.179600778,6.018757244,0.001548386,0,0.000964896,1,mine,0
Hyperemic,47,5.89E-01,1.2,0.63,2.527047931,4.044263,19.37083937,0.884487256,5.288602874,0.690683813,1.952685118,393.3311416,351.8535791,0.098850178,0.133467847,0.81,0,0.81,LAD,1.20645291,1.328739624,1.364013898,0.271407946,1108.984903,218.421619,5.882394093,3.780897329,0.494837712,0.00029183,0.004257938,0.00266598,1,mine,0
