GeometryNumber,ColumnName,ImputedValue,NeighborGeometryNumbers
92,WSS_Area_Bifur,0.8851875421027533,"[np.float64(93.0), np.float64(29.0), np.float64(103.0), np.float64(97.0), np.float64(100.0)]"
95,WSS_Area_Bifur,0.9032202578956916,"[np.float64(101.0), np.float64(84.0), np.float64(28.0), np.float64(27.0), np.float64(52.0)]"
94,WSS_Area_Bifur,0.885388845402191,"[np.float64(11.0), np.float64(9.0), np.float64(29.0), np.float64(92.0), np.float64(93.0)]"
94,WSS_TE_min,12.059511345634306,"[np.float64(98.0), np.float64(11.0), np.float64(89.0), np.float64(9.0), np.float64(99.0)]"
56,WSS_Area_Bifur,0.905746578961837,"[np.float64(86.0), np.float64(52.0), np.float64(4.0), np.float64(28.0), np.float64(84.0)]"
110,WSS_min,2.31073824379617,"[np.float64(57.0), np.float64(33.0), np.float64(44.0), np.float64(36.0), np.float64(53.0)]"
3,WSS_TE,810.2889365631224,"[np.float64(1.0), np.float64(87.0), np.float64(4.0), np.float64(91.0), np.float64(56.0)]"
3,WSS_LE,931.807361216679,"[np.float64(1.0), np.float64(87.0), np.float64(4.0), np.float64(91.0), np.float64(56.0)]"
3,WSS_TE_Area,0.23056462096554003,"[np.float64(1.0), np.float64(87.0), np.float64(4.0), np.float64(91.0), np.float64(56.0)]"
3,WSS_LE_Area,0.24817533999321467,"[np.float64(1.0), np.float64(87.0), np.float64(4.0), np.float64(91.0), np.float64(56.0)]"
3,WSS_Area_Bifur,0.9048049820802234,"[np.float64(4.0), np.float64(56.0), np.float64(86.0), np.float64(52.0), np.float64(28.0)]"
3,WSS_TE_min,25.85591337517075,"[np.float64(1.0), np.float64(87.0), np.float64(4.0), np.float64(91.0), np.float64(56.0)]"
3,WSS_LE_min,7.109652958923528,"[np.float64(1.0), np.float64(87.0), np.float64(4.0), np.float64(91.0), np.float64(56.0)]"
3,WSS_TE_Area_min,0.01228941815477806,"[np.float64(1.0), np.float64(87.0), np.float64(4.0), np.float64(91.0), np.float64(56.0)]"
3,WSS_LE_Area_min,0.0,"[np.float64(1.0), np.float64(87.0), np.float64(4.0), np.float64(91.0), np.float64(56.0)]"
3,WSS_Area_Bifur_min,0.00305539025755268,"[np.float64(87.0), np.float64(4.0), np.float64(91.0), np.float64(56.0), np.float64(86.0)]"
5,v_distal,CouldNotImpute,[]
5,P_Loss_Coeff,CouldNotImpute,[]
5,WSS_Area_Bifur,CouldNotImpute,[]
2,WSS_TE,798.695277418629,"[np.float64(95.0), np.float64(101.0), np.float64(84.0), np.float64(28.0), np.float64(27.0)]"
2,WSS_LE,752.9771450619044,"[np.float64(95.0), np.float64(101.0), np.float64(84.0), np.float64(28.0), np.float64(27.0)]"
2,WSS_TE_Area,0.20941674948808875,"[np.float64(95.0), np.float64(101.0), np.float64(84.0), np.float64(28.0), np.float64(27.0)]"
2,WSS_LE_Area,0.22698407621256775,"[np.float64(95.0), np.float64(101.0), np.float64(84.0), np.float64(28.0), np.float64(27.0)]"
2,WSS_Area_Bifur,0.9057771560046787,"[np.float64(95.0), np.float64(101.0), np.float64(84.0), np.float64(28.0), np.float64(27.0)]"
2,WSS_TE_min,12.726563022343987,"[np.float64(95.0), np.float64(101.0), np.float64(84.0), np.float64(28.0), np.float64(27.0)]"
2,WSS_LE_min,3.6432498527123003,"[np.float64(95.0), np.float64(101.0), np.float64(84.0), np.float64(28.0), np.float64(27.0)]"
2,WSS_TE_Area_min,0.004531759448694101,"[np.float64(95.0), np.float64(101.0), np.float64(84.0), np.float64(28.0), np.float64(27.0)]"
2,WSS_LE_Area_min,0.0,"[np.float64(95.0), np.float64(101.0), np.float64(84.0), np.float64(28.0), np.float64(27.0)]"
2,WSS_Area_Bifur_min,0.0,"[np.float64(95.0), np.float64(101.0), np.float64(84.0), np.float64(28.0), np.float64(27.0)]"
16,WSS_TE,799.8895296143403,"[np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0), np.float64(94.0)]"
16,WSS_LE,825.4886037078797,"[np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0), np.float64(94.0)]"
16,WSS_TE_Area,0.2181259561846843,"[np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0), np.float64(94.0)]"
16,WSS_LE_Area,0.2480649595796968,"[np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0), np.float64(94.0)]"
16,WSS_Area_Bifur,0.889651173670335,"[np.float64(9.0), np.float64(11.0), np.float64(94.0), np.float64(102.0), np.float64(27.0)]"
16,WSS_TE_min,13.867902802512887,"[np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0), np.float64(94.0)]"
16,WSS_LE_min,7.43744008334649,"[np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0), np.float64(94.0)]"
16,WSS_TE_Area_min,0.00156087847421132,"[np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0), np.float64(94.0)]"
16,WSS_LE_Area_min,8.93144284369e-05,"[np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0), np.float64(94.0)]"
16,WSS_Area_Bifur_min,4.121331802006e-05,"[np.float64(90.0), np.float64(99.0), np.float64(9.0), np.float64(11.0), np.float64(94.0)]"
29,HMR,1.9641224994923405,"[np.float64(92.0), np.float64(93.0), np.float64(14.0), np.float64(103.0), np.float64(89.0)]"
29,HSR,0.5407056888190791,"[np.float64(92.0), np.float64(93.0), np.float64(14.0), np.float64(103.0), np.float64(89.0)]"
29,P_Loss_Coeff,1.3817457327356713,"[np.float64(92.0), np.float64(93.0), np.float64(14.0), np.float64(103.0), np.float64(89.0)]"
29,CFR,3.3228198428983524,"[np.float64(92.0), np.float64(93.0), np.float64(14.0), np.float64(103.0), np.float64(89.0)]"
29,BMR/HMR,4.193749010560453,"[np.float64(92.0), np.float64(93.0), np.float64(14.0), np.float64(103.0), np.float64(89.0)]"
