Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,Q_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source
Non-hyperemic,68,LAD,2.982273990851341816e-01,0.9,0.745,0.24,0.0,0.24,,,,,8.838165017908977,,0.08766336065172484,,2.2410524597701147,3.379841,12.410847122782881,1.1790304766643738,73.545153,364.141066,189.08406344020767,44.9317302465487,22.236397507489517,1.4275493407983375,7.490161473266714,0.08682246764383719,0.031276489046950226,0.0,0.000184174706481093,0.0,0.0,mine
Non-hyperemic,50,LCX,5.985359125502809352e-01,0.9,0.5700000000000001,0.24,0.0,0.24,0.9004077056474769,,,,7.2231210322992885,,0.7989349618852493,2.2084727094138983,2.252098241379309,3.396499,12.433488498953901,0.6962753559414184,545.600706,1205.5015720000001,221.07734748127987,544.1888338829,7.660404585158117,3.21241776207066,0.41272453187546837,0.14753056524668848,0.0314757420090166,0.1188335087199356,0.02354794446467519,0.0,0.12272662192933118,mine
Non-hyperemic,66,LAD,2.048441957096110988e-01,2.0,0.5800000000000001,0.24,0.0,0.24,,,,,8.487020296563811,,0.11390155058682386,,2.2238716091954025,3.35393,12.893564837595662,1.224888659571588,73.749309,363.091227,184.14643385852537,53.52795784868607,1.839462031341226,1.839462031341226,17.15788750033138,0.05975821967777783,0.03300135187306081,0.0,0.0007588111920764093,0.0007945030076159629,0.0,mine
Non-hyperemic,61,LAD,1.117331976597878418e-01,1.66,0.5800000000000001,0.24,0.0,0.24,,,,,8.341907181408443,,0.09499937864827364,,2.234540551724138,3.37002,13.123060000518283,1.2466907000492369,71.991405,377.23309,198.0860022745096,44.41321289840942,0.799562331735081,0.799562331735081,20.049491294452835,0.05869741877847365,0.02141409359180359,0.0,0.0006040401112056268,0.0007343871979048501,0.0,mine
Non-hyperemic,60,LAD,1.075575169072274795e-01,0.9,0.43,0.24,0.0,0.24,,,,,8.253912979871107,,0.06417401500793321,,2.2384789540229884,3.37596,13.328269627627856,1.2661856146246464,72.425202,376.06429,197.82005370216814,40.267460244004845,20.40407797843459,1.7603390634920044,17.850898223139616,0.05905703077632209,0.03136918671229758,0.0,0.0004677119615276039,0.0,0.0,mine
Non-hyperemic,67,LAD,2.048441957096112098e-01,2.5,0.5800000000000001,0.24,0.0,0.24,,,,,8.060677782904822,,0.13306596698090348,,2.223087149425287,3.352746,13.532971305063624,1.2856322739810444,71.475381,366.42226500000004,189.01292409068438,52.21464231881521,0.8826350995256874,1.0669288917936255,20.36203514898984,0.057863626069360394,0.021916910386492055,0.0,0.0003688739716607005,0.00037589211184592283,0.0,mine
Non-hyperemic,51,LCX,5.951443504385723893e-01,3.0,0.76,0.24,0.0,0.24,0.9173448448684582,,,,9.421958493757401,,0.8489429523704767,2.3452732665296145,2.2244401724137934,3.354787,9.64183112459091,0.539942542977091,200.987644,447.142565,197.64192582755103,135.36433417494894,0.09771344228188229,8.026376076268996,0.2687129447131303,0.15714666921365658,0.02016634844383225,0.04633128904411461,0.000987450346447329,0.0,0.014203652341457198,mine
Non-hyperemic,69,LAD,3.090435692874629048e-01,1.66,0.9,0.24,0.0,0.24,,,,,8.912150083392268,,0.1683062851664719,,2.2395507816091964,3.377576,12.243624657302409,1.1631443424437289,73.336331,387.80905199999995,209.0199299029579,74.91711558555119,0.8919218519018186,0.8919218519018186,1.4137844557966872,0.1900182153095151,0.02237135056772157,0.00320548612852185,0.0,0.0,0.04002486246422156,mine
Non-hyperemic,3,LAD,4.528590858545522568e-01,1.7,0.6799999999999999,0.24,0.0,0.24,0.9559217522138562,,,,8.078914117281288,,0.3725246103876005,1.9031599972118467,2.2298179540229888,3.362898,11.709793913450389,1.112430421777787,73.305043,458.308797,210.72133093803038,214.42617016738697,0.2959014506502802,6.235184492640925,1.514652713506401,0.25108966972904445,0.04503302438725756,0.09964921901075964,0.001156745638130044,0.0,0.01193592783054887,mine
Non-hyperemic,4,LAD,4.407935948725615338e-01,2.0,0.6699999999999999,0.24,0.0,0.24,0.956032700203412,,,,8.139973964356635,,0.374351918664645,1.9086333669728714,2.240501666666667,3.37901,11.619862157551019,1.1038869049673468,72.379322,414.588221,,,0.5649356232798711,,,,,,,,,mine
