Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,Q_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source
Non-hyperemic,1,LAD,0.452859086,1.2,0.68,0.24,0,0.24,0.964778111,,,,7.977153506,,0.291228013,1.78860285,2.227648701,3.359626,11.91748398,1.132160978,73.296575,502.177701,216.2790132,155.2828522,0.938689647,4.909217475,0.393844593,0.213106964,0.077985447,0.055963395,0.001779327,0,0.006345886,mine
Hyperemic,1,LAD,0.452859086,1.2,0.68,0.24,0,0.24,0.782795739,3.445362264,4.401355417,1,1.829608493,4.360033056,0.507665975,1.492712867,6.834801517,11.063105,41.06004957,3.900704709,833.409859,2024.27804,1020.278409,834.9112971,6.081414577,1.662341546,5.800368903,,0.275192312,0.255296529,,0,0,mine
Non-hyperemic,2,LAD,0.452859086,1.5,0.68,0.24,0,0.24,0.958955199,,,,8.144155954,,0.348582773,1.877077267,2.230283759,3.3636,11.63544327,1.105367111,72.634057,498.090884,217.2293561,201.3663133,0.568974625,4.093896733,0.985480001,0.25462124,0.050317803,0.079592383,0.001221765,0,0.011475646,mine
Hyperemic,2,LAD,0.452859086,1.5,0.68,0.24,0,0.24,0.760538535,3.397680536,4.467466644,1,1.845525918,4.412918766,0.58107817,1.567823364,6.758107023,10.629883,39.53351914,3.755684318,745.969052,1900.432391,,,3.471682725,,,,,,,,,mine
Non-hyperemic,3,LAD,0.452859086,1.7,0.68,0.24,0,0.24,0.955921752,,,,8.078914117,,0.37252461,1.903159997,2.229817954,3.362898,11.70979391,1.112430422,73.305043,458.308797,210.7213309,214.4261702,0.295901451,6.235184493,1.514652714,0.25108967,0.045033024,0.099649219,0.001156746,0,0.011935928,mine
Hyperemic,3,LAD,0.452859086,1.7,0.68,0.24,0,0.24,0.745970665,3.438357287,4.609239273,1,1.785816658,4.523932556,0.608133588,1.579653016,6.790127793,8.919556,40.26245523,3.824933247,853.378861,2082.036108,,,1.139296282,,,,,,,,,mine
Non-hyperemic,4,LAD,0.440793595,2,0.67,0.24,0,0.24,0.9560327,,,,8.139973964,,0.374351919,1.908633367,2.240501667,3.37901,11.61986216,1.103886905,72.379322,414.588221,,,0.564935623,,,,,,,,,mine
Hyperemic,4,LAD,0.440793595,2,0.67,0.24,0,0.24,0.747936725,3.448804296,4.611090991,1,1.790297889,4.546714831,0.60335097,1.578254768,6.762165207,10.876202,40.07463053,3.8070899,781.208763,1783.614223,841.115741,1001.101171,0.274954231,1.661024745,7.17779982,0.906541545,0.230608509,0.209748562,0,0,0,mine
Non-hyperemic,5,LAD,0.481312284,1.2,0.71,0.24,0,0.24,0.956480977,,,,7.549227639,,0.343483058,1.838022028,2.230272253,3.363583,12.54404411,1.191684191,73.820153,539.581591,241.2389221,194.9969951,0.83728639,2.778466275,0.80850371,0.215244674,0.088372952,0.060611219,0.002194876,0.001041511,0.001473176,mine
Hyperemic,5,LAD,0.481312284,1.2,0.71,0.24,0,0.24,0.744042726,,,,1.704661456,4.428578831,0.586418608,,6.70194192,10.671385,,,554.574982,1365.681849,982.1901587,905.2586432,6.116579805,3.294623164,3.661837349,,0.276052965,0.25215725,0,0,0.000151037,mine
Non-hyperemic,6,LAD,0.481312284,1.5,0.71,0.24,0,0.24,0.949253756,,,,8.067110786,,0.431260422,1.967352132,2.210532299,3.333812,11.69342545,1.110875418,73.222563,544.47041,222.2431696,257.1140475,2.023638889,6.7074906,0.607037322,0.248813526,0.049904383,0.087874656,0.002199565,0,0.005448233,mine
Hyperemic,6,LAD,0.481312284,1.5,0.71,0.24,0,0.24,0.71822657,3.342979523,4.654491583,1,1.773689614,4.548208842,0.695850903,1.650995007,6.671608126,9.237415,39.09088184,3.713633775,818.044982,1967.172652,,,6.527799849,,,,,,,,,mine
Non-hyperemic,7,LAD,0.481312284,1.7,0.71,0.24,0,0.24,0.945567727,,,,7.804836913,,0.449290943,,2.234609931,3.370125,,,,,214.3570902,284.3489705,0.573063861,4.830902877,1.913321992,0.247469346,0.047698303,0.114204371,0.001257942,0,0.007936994,mine
Hyperemic,7,LAD,0.481312284,1.7,0.71,0.24,0,0.24,0.707715955,,,,1.745610644,4.47112129,0.720930673,1.669146754,6.520036149,10.051321,38.84195043,3.68998529,854.802792,1956.971145,,,1.005150111,,,,,,,,,mine
Non-hyperemic,8,LAD,0.481312284,2,0.71,0.24,0,0.24,0.942095867,,,,7.458188926,,0.458403414,1.961411802,2.22294969,3.352539,12.60057377,1.197054508,73.935341,486.440241,183.2759752,292.1908383,0.463671019,3.932162159,2.838585117,0.24504527,0.045971854,0.131556534,0.000795019,0,0.007730967,mine
Hyperemic,8,LAD,0.481312284,2,0.71,0.24,0,0.24,0.696882978,3.300882616,4.736638315,1,1.605385816,4.645729926,0.698280461,1.625563768,6.467248103,9.958848,41.59301491,3.951336417,768.942716,1837.066068,,,0.29983334,,,,,,,,,mine
Non-hyperemic,9,LAD,0.55839994,1.2,0.78,0.24,0,0.24,0.92319331,,,,7.19919996,,0.59895009,,2.239974598,3.378215,,,,,293.2155724,271.283541,8.342805702,1.409786453,3.08439762,0.20663671,0.097920861,0.071734606,0.004004779,0.0063946,0.000956233,mine
Hyperemic,9,LAD,0.55839994,1.2,0.78,0.24,0,0.24,0.629637691,,,,1.592238134,4.521434205,0.936578288,1.793130814,6.178156552,9.622707,37.92866452,3.603223129,675.230019,2536.069532,894.0199569,1114.227684,11.80404458,5.017626508,8.503777286,0.859844844,0.2744707,0.246112697,0,0,0,mine
