Condition,Geometry Number,Location,Stenosis Percentage,Length,Width,R_scale,R_micro,R_total,P_d/P_a,CFR,CFR/FFR,discord,HMR,BMR/HMR,HSR,P_Loss_Coeff,Average Flow,Max Flow,v_distal,Q_distal,WSS_LMB,WSS_Bif,WSS_LE,WSS_TE,WSS_min,WSS_LE_min,WSS_TE_min,WSS_Area_Bifur,WSS_LE_Area,WSS_TE_Area,WSS_Area_Bifur_min,WSS_LE_Area_min,WSS_TE_Area_min,source
Non-hyperemic,1,LAD,0.45,1.2,0.68,0.24,0,0.24,0.964778111,,,,7.977153506,,0.291228013,1.78860285,2.227648701,3.359626,11.91748398,1.132160978,73.296575,502.177701,216.2790132,155.2828522,0.938689647,4.909217475,0.393844593,0.213106964,0.077985447,0.055963395,0.001779327,0,0.006345886,mine
Non-hyperemic,13,LAD,0.59,1.2,0.81,0.24,0,0.24,0.900848952,,,,7.027176196,,0.773439191,2.170658926,2.222720379,3.352193,13.13171741,1.247513154,72.690392,962.312151,338.2888943,339.0632085,2.901735294,0.41539289,2.250041501,0.205882151,0.101197326,0.086522796,0.004540238,0.006812163,0.003947194,mine
Non-hyperemic,18,LAD,0.45,2.5,0.68,0.24,0,0.24,0.942956412,,,,7.859919513,,0.475481158,2.000156973,2.227354782,3.359183,11.95447802,1.135675412,72.122823,446.084813,206.188497,203.5953779,0.161950076,1.933647702,1.471505898,0.232543852,0.041728797,0.114279139,0.001099694,0,0.034724326,mine
Non-hyperemic,26,LAD,0.59,2.5,0.78,0.24,0,0.24,0.849784532,,,,6.506869145,,1.150212029,2.321034218,2.231082184,3.364804,13.81331662,1.312265079,73.584895,779.126378,176.8061617,490.2939095,0.402930656,5.127062708,1.396786086,0.229684946,0.048071808,0.123223979,0.000538601,0,0.008335279,mine
Non-hyperemic,37,LAD,1.22E-15,0.1,0.251,0.24,0,0.24,0.99304129,,,,7.4647482,,0.052309022,0.987032225,2.156673741,3.346245,13.55497304,1.287722439,83.699386,411.703468,,,,,,,,,,,,mine
Non-hyperemic,52,LCX,4.58E-01,1.2,0.735,0.24,0,0.24,0.960838329,,,,9.877119303,,0.4025698,2.028356809,2.227022563,3.358682,9.485029,0.531161624,211.371272,605.776948,248.9723224,194.9976271,0.655363668,2.76292905,1.640537221,0.1971184,0.032783853,0.096064471,0.001156198,0,0.063766699,mine
Non-hyperemic,53,LCX,4.51E-01,2.5,0.73,0.24,0,0.24,0.942372078,,,,9.661427465,,0.590815461,2.191071731,2.226590931,3.358031,9.570495,0.53594772,198.081678,435.046658,210.645905,134.7038104,0.20041921,6.606279086,1.293924851,0.173931328,0.020049188,0.054746859,0.000918437,0,0.039192604,mine
Non-hyperemic,54,LCX,6.09E-01,1.2,0.875,0.24,0,0.24,0.865901213,,,,8.031126882,,1.243749696,2.45791763,2.208449276,3.33067,10.898573,0.610320088,627.094326,1141.96969,240.4906229,601.3965618,12.47813523,2.02648002,0.122172293,0.167109634,0.033775423,0.110209616,0.000825798,0,0.152271469,mine
Non-hyperemic,55,LCX,5.96E-01,2.5,0.75,0.24,0,0.24,0.932858763,,,,9.476226863,,0.682038507,2.247874003,2.235823897,3.371955,9.693691,0.542846696,226.982911,449.229216,197.9610369,149.5756865,0.111434756,6.195088282,1.269094253,0.174948908,0.020718959,0.059159891,0.000608415,0,0.030088842,mine
Hyperemic,1,LAD,0.45,1.2,0.68,0.24,0,0.24,0.782795739,3.445362264,4.401355417,1,1.829608493,4.360033056,0.507665975,1.492712867,6.834801517,11.063105,41.06004957,3.900704709,833.409859,2024.27804,1020.278409,834.9112971,6.081414577,1.662341546,5.800368903,0.814384598,0.275192312,0.255296529,0,0,0,mine
Hyperemic,13,LAD,0.59,1.2,0.81,0.24,0,0.24,0.576869098,2.78149807,4.821714457,1,1.510185059,4.653188795,1.107713983,1.882381627,5.882034057,8.897737,36.52584662,3.469955429,,2642.526706,913.2225482,1168.741477,16.90358109,8.315521377,3.452354719,0.846077949,0.274595829,0.240395398,0,0,0,mine
Hyperemic,18,LAD,0.45,2.5,0.68,0.24,0,0.24,0.698815174,3.282422064,4.697124771,1,1.71049844,4.595104754,0.737213779,1.674422683,6.511574356,10.717489,39.23964241,3.727766029,769.259048,1876.517458,,,0.249105435,,,0.845204824,0.164939493,0.214938434,0,,,mine
Hyperemic,26,LAD,0.59,2.5,0.78,0.24,0,0.24,0.483869963,2.559541561,5.289730212,1,1.315848432,4.944998975,1.403577309,1.999330466,5.521073759,8.554116,35.35575798,3.358797008,555.281961,,498.4516702,1382.06823,0.810531592,4.398622813,0.964112148,0.854260056,0.167622329,0.154369602,0,0,0.003152871,mine
Hyperemic,31,LAD,0.45,2.5,0.68,0.43,0,0.43,0.833068698,2.14798901,2.578405615,0,3.131865822,2.509660362,0.627567017,1.788651717,4.39696892,7.559204,25.6780874,2.439418303,438.844546,1102.881711,522.8618905,605.2747147,0.210472919,1.826057334,1.963705688,0.688282732,0.12361164,0.160222875,0,0,0.003498645,mine
Hyperemic,32,LAD,0.45,2.5,0.68,0.62,0,0.62,0.89239046,1.552603021,1.739824763,2,4.650418109,1.6901533,0.560773985,1.880751093,3.27396046,5.556566,18.56055868,1.763253075,295.008377,780.2767,378.6503972,395.5863341,0.504660288,4.26662749,2.117969214,0.487318798,0.091146573,0.146186286,0,0,0.007950747,mine
Hyperemic,33,LAD,0.45,2.5,0.68,0.81,0,0.81,0.924239662,1.198725147,1.296985183,2,6.243739234,1.258848139,0.511802095,1.953406105,2.599016575,4.135181,14.33013342,1.361362675,209.035986,571.315399,275.2650262,266.9543567,0.27694361,4.29348512,1.747718444,0.292128464,0.069904053,0.130199471,0.00036841,0,0.017344086,mine
Hyperemic,34,LAD,0.59,2.5,0.78,0.43,0,0.43,0.653378853,1.809431394,2.769344899,3,2.522209806,2.579828661,1.338046451,2.129185383,3.869900874,6.417136,24.99424874,2.374453631,362.853009,1503.760284,379.0663565,1042.439594,1.216785459,1.604850444,1.403350804,0.621188617,0.111729742,0.14663327,0.000376144,0.000804848,0.003321649,mine
